Sentence,Sentiment
bharat ko vishwa guru banne se koi nahi rok sakta......vande matram,positive
Sir yeh tho sirf aap hi kar sakte hai. Great sir,positive
Modi jigood preiminister hia,positive
Jai sri ram nama namo,neutral
Jan Jan ka viswas kam ho na jai hind,neutral
modi ji aage badho pura desh aapke ssath hai.,positive
RAJ KAPOOR KI FILMO KE BAARE ME SUNA THA KI USSR ME PASAND KI JAATI HAI.LAGTA HAI VAH AAJ BHI KAYAM HAY.,positive
we are proud our pm ; ab lg rha h ki hmara desh ek achchi rah pr chal para hai jaha se hm puri world me apna jhanda gaar skte hai,positive
modi ji aap ki soch bahut sahi lgti hai progres n hona hi sabki wajah hai is liye sabse zaroori hai ki desh ka vikas ho,positive
bhrat ko no.1 banne me ab jyada samy nahi lagega  kyo ki modi ji jaisa pm bade bhagya se milte hai  jo bharat ki rftar ko bdane me koi kasar nahi chodege         jai hind      ,positive
Baccho k Dilon dimag ko satya k raste pe lane k liya Is geet ko schoolo me vandana k rup me anivarya karna chaheye .,positive
KARTIKEY KUMAR modi hi des ko agÅ  bada sakate hai,positive
Hahaha budha bachiyo ko taar raha h,negative
Aisa PM naa hua hai aur naa hee hoga kabhi. .,positive
koi hindu nhi koi muslim nhi hm sab hundustani hai,neutral
Modi tujhe jaan se maarna mera kaam hai  main Khalistani huuuuuuu,negative
Modije mera request hai ke ap apna whatsapp no de take mai live pic apko dekha saku,neutral
Modiji ap apne desh ka tirnga sari duni me lahraya hum sabko Garv hai ap per maa bharti ka man duniya me badhaya apne ap hum bhartvasio ke dil me bas gaye ho salute sir apko jai hind,positive
Hum Bihar ka to jeet gaye aur UP ka election jeeta dena.Abhi to hum 12seaton se jeete hai hume aur humen 65seaton se jeeta dena.,neutral
Pm ho to aisa modi jaisa ji hind jay varat,positive
manka biswas kam jor hona...,negative
Modi is tarah so dekhne se kuchh nahi hota,negative
Modi ji hi aise ekmatra person hai jinme desh ko age Le Jane ki sakti aur jajba hai,positive
Mahan bharat ka mahan beta har har modhi,positive
modi ji aage chalo haem aapki jarurat hai,positive
jai ho bharat mata ki w hamari sanskriti ki jo videshi bhi apnate hai,positive
modi sir app pahale OBC president ho. OBC ke liye kuch karo. bad me koi kuch nahi karega,negative
Sab ka malik ek.,neutral
Modi Sab Pranam App bahut Achya kam kar rahe hai is kam me ham sab apke sath hai or meri apse vinti hai ki app apni tabiyat ka khayal rakiye app or app jivo hajharo sal vande matram bharat mata ki jai,positive
Modi ji kale kuto Ka ilaj ker do bhut bimar hai,positive
Sir app ke jo soch he subko sath me leke chalna ek din ye soch appko itna upper lejayega chahe koye appko bhulne ki kosis kerenge to unnke samne appko bhulna nehi balki desh ko bhulna nazar aayega.,positive
Jai hind modi sir,positive
Kiu app apne desh ki paisa ko kharab kar rahe ho..apne desh to ghum ke dekha nehi..aap chale dushre ki desh ghumne..koi vala kam aapse nehi hoga modi g..,negative
bahut ho gaya ghumna phirna. ab paani sar se upar jaa raha hai.,negative
jai hind mera bharat mera hindusthan,positive
World best pm narendar modi Ji mira bhart mahan,positive
Lageraho modiji pura des aapke sath he.,positive
Sir ji you r great Ap sirf bidesh Bhraman korenge ya Desh Ki bachhe ko v khayal rakhenge Kitna garub hai hum log Diya koro sahab,positive
PM ka samman..........mera samman....JAY HIND,positive
JAY JAY HO BHARAT,positive
Kya baat hai g,neutral
nice pic modi ji,positive
jaldi aa kar vyapam par kuch kijiye nahi 45 ke paar hattyayen pahuchne wali hai,negative
Salute you sir app bahut mehnat karte hai,positive
Congrats modi jee,positive
Modi ji aap apna kaam kijiye kisi ki baat ko mat suniye agar 5 baccho me se do bigad jaayen to bhi paalna to padta hi hai,positive
Sir hm sab digitial india ke platform pe chalna chahte hai.mai samghta ho kifirst priority hmre force ko hny chahiye becaymuse unhe sabse jyada digital hona must hai india ke liye.,neutral
Wah modi sab,positive
grt step 4grt relation...nic job sir,positive
Kuch nahi karoge tum india ke liye,negative
Addd mee frnds,neutral
Jab tak suraj chaand rahega modi ji ka naam rahega,positive
Unstoppable modi sir,positive
Jada ghumte mat raho hamlok ko madat karo hamar bare socho jara ham madat magte to mili nahi qq,negative
Modiji apne desh ka tho khayal rakho sirf gumne ke pm bane ho kiya falthi pm hai,negative
Modi ji ek aisa star hai wo jaroor India ka star badlega kya khete ho mera bhayio or bheno,positive
Modi ji namashkarSorry to say but aap jab v kahin Facebook pe kuch share karte hain to status ko English me update karte hai...Khusi hogi jab aaapka updates hindi me,neutral
Jai hind ks.chouhan bhinmal jalore,neutral
Duniya ki technology lane par hi dess ka vikas hoga,positive
Prnam ji kuch desh ke liye mai bhi krna chahta hu bas aapka thoda sath chahiye agar mil jaye to mera kaam aasan or khubshurat hmara desh hoga.,neutral
Faltu time nahi hai,negative
Sir aap to India KO bhul gye or gov k paiso PR holiday PR ghum rhe ho aap India me toh dikhai hi nai dete,negative
Hello modi ji,neutral
app desh ka dadkhan jaihind,positive
Bhakt se bada anuyai hota hai.,neutral
Modi ji hamara hindustan ka naam saada ucha rakhna.jai bharat mata jai hind..,positive
Namsthe sir jai gurudhev,neutral
j banda kam kar raha hai ham maze le rahe hai jab sey india ke pm bane hai tab sey laga gai great man in the world .........best pm in the world..... only one on one......,positive
Modi Ji. App mearaku thoda call krdejia. 0096555218960,neutral
Is desh ko jarurat h guidelines ki Varna itani jayada aabadi ka desh world no.1 nahi ho sakta.jo vikas ke raste mai aata hai. Usko hamesha ke liye khatam kar do. Chahe wo koi party ho ya galat insan desh ko tarakki chahiye kisi bhi keemat par.,neutral
Lage raho sir.,positive
Sir Namaskar. Mai Bihar se hun aur aapka jabardash prasansak hu Aap jo desh ke liye niswarth bav se kam kar rahe hai aapko sadaib best p.m ke roop me jana jaega. salute to you sir.,positive
Humari sabhayata humari pehchaan...,neutral
Maza to tab hai jab kohinoor wapis lao,neutral
ache log ko ache gifts hi milte hain jaise indians ko aap mila sir ji.,positive
Respected sir aap aaj pure Bharat ki ummid ho ...ek naya savera aapne hi janta ko dikhaya he...ap dhup bhi nikaliye...,positive
Onli modi sarkar,neutral
Modi ji apne ye to kaha diya ki Jo saksham hai vo subsiti na le Main sahamat hoo per please Ek bar himmat juta ker bol dijiye Jo saksham hai vo arakshan na le,positive
jai ho modi jii,positive
Sir aap se koch baat krna he zarori,neutral
sir aap kya cheez ho? kamal!!!!,positive
desh gourav badha rahe ho ayushman bhav,positive
sir agar aapke pas thoda sa time ho toh kripa karke es desh ki nojawaano ke liye bi kuch kariye.. jyada jankari ke liye kripyaa msg kariye mujhe,neutral
Great PM sahab yeh sab only hmare modi ji hi kar skte h,positive
Apna desh chlane ke liye bola apni myiya chuda rhe ho ghum ghum ke..,negative
UP me kuchh kro nhe to 2017 meBSP aa jayeg,negative
modi saab ye konsi country hai???,neutral
Jai hind maniyo pradhan manteri ji me sena bharti nhi hua lekin me desh ki sena ko salam karta hunJAI HIND JAI MATA KI,positive
Modiji aapko hajaro salam.bahut pm aaya gaya karod lekhe gaya but aaptho imndar pm best of luck,positive
Namastey sir Jis tarah ap desh ki halat sudhar rhe h. Usi tarah please hum jese peoples pr bi dhyan dijiye.,neutral
Modi Ji Kay sare kam acche hay par ek kaam bura hay inko aapan ne jitaya election hay ya World Tour package Purana PM to silent mode or naye PM flight mode hamare desh ki to kismat hi kharab hay,negative
Modhiji se India ki janta ko jo umide thi vo abhi tak jaha ki taha hai kuch esa strong kare jo anewale samay me bhi bana rahe kiyki samay ab kam he,neutral
Har har modi ghar ghar modi modi ji aap cha gye congresiyo ke pet me dard ho raha hai apki yattra dekh ke,positive
ghum le puri Dunia chutia bana raha pure india ko kutta sala,negative
Modiji des ne aap pr bharosa jtaya hai aap hmari ummido pr khra utrna,positive
Pradhanmantriji Me sapath leta hu ki jis din humare desh ke sare neta subsidy khana band kar dege us din me bhi apne hisse ki subsidy return kar duga.,neutral
India ke sabse lokpriy pm modi ji mai aapse request kartahu pm banne ke baad aap mp ke satna nahi aaye please aap jab bhi mp aaye satna aagman ko acsept kar lijiye. Thanku,neutral
Modiji nice parson abi survat hai age age dekho hota hai kay,positive
Modi ji aap badhey chalo janta apke sath hai.,positive
Hindustan ka sher p.m modi jo har country ko apne desh khobiyo se intro karwana chahata haijay hind,positive
Gandhi ji aur aapne apni chhavi se na kewal desh me balki pure wiswa me bharat ka nam gauranwit kiya hai wish u all the best,positive
bharat ka shan narendar modi lakin bihar ka kya hoga modi jee,neutral
urgent wrk hai aapke saath modi g,neutral
Bharat mata ki jai,positive
Ghandhi gandhi gandhi aakhir ye gandhi hi kya ek logo ko bewkuf bana kr des ko bechne wala,negative
Jai hind jai bharat mata ki jai,positive
Poojjya Narendra modiji good evning mera ek swpna hi aapkasaat ek selpy pooto chaiea anugrha deejia ples,neutral
Modi jee aap jaha jaatey ho vaha sabko apna bna latey ho good wishes for you,positive
Jiao hind jai bharat,positive
Modi ji desh ka nam bda rhe he.,positive
maharani laxmi bai tatya tope  Subhas chandra bos  ajad  Bhagat etc are the true leaders,positive
Gandhiji ka sanman itnato congress ne bhi nahi kiya,positive
desh ko ap ki jarurat hai aage le jane ke liye,positive
(gandhi)he iz a murderer. he killed subhas ch. bose,negative
Don't forget godse,neutral
ek aayas admi tha nehru,neutral
india kbhi bhi china ko peeeche nhi kr paaega.....,negative
P.M.NAMO NAMO Aaj aapki vajha se saare Duniya Ghunj uthe hai only MODI MODI Thanks,positive
Modi ser desh me kharab ho rha anaaaj ???? ???? iske bare me kya soch rhe hy aap,neutral
hindustan ke dusre mhatma gandhi nerndr modi jee hai har har modi ghar ghar modi,positive
Jai hind.mera desh mhan,positive
Ek naya itihas banayega Modi ji ka karyekaal.,positive
aaj ke mahatma gandhi P.M.Modi jee modi jee me swami vivekanand ki chhavi bhi dikhtee hai,positive
Kabhi SUBHAS CH Bose & Bhagat Singh ki bhi baat kiya karo sirji....Jisne desh k tukde kar diye us aadmi (Gandhi) ki murti anvaran karte phir raheho @ narendra modiji,negative
maine kai bar suna ki bharat ek din bishwa guru banega. lekin yakeen nahin hota tha. per aap kee lagan aur karya shaily se ab poora yakeen ho gaya bahut jaldi bharat maha guru ban jayega. bharat maa ki jai.,positive
Mast lag rhe ho modi sab,positive
apne desh ki mahanta ko jitna bhi desh me charcha kiya jaya bhahut hi acha hai,positive
modiji aap itna paysa ghumne me lagarahe ho desh girvi rakhana hai kya,negative
kal modiji nagpur jar nam len sir he vinti aahe sir,neutral
Mei meri puri   family modi sir se bahoot   peyar karte hai,positive
Vande mataram. ..Jai hind. .Jai bharath,positive
modi ji bangladash sa sab hendu ko india ma la chaleya plz eha musalman hendu ka vume dakal karlata ha or ve bahot aneti karta ha,neutral
Modiji to apne desh ko aage le jane ke liye bhut kuch kr rhe hai ab desh ke youngest ko jag ne ki bari hai ..... jay hind,positive
Modi sir welcome aapko or hum aap jaise sir ki jarurat,positive
Sir ji aap se bat karna hai hame,neutral
Bharat Nav nirmaan karenge MODI Ji shaktishaali rastra banaaven MODI Ji,positive
Jai hind modi ji,positive
Udar hamare indian faoj ko pakistan goliyo se bhuj raha hai or navaj se hath mila rahe hai,negative
bas isi tarah aap age badate rahiye hum aapke sath hai ...,positive
Modi ji sorry bidesoon main mat ghoomo apne naitaoo saansdon ko pakdo belagaam hote ja tahe hain gareeboun ki socho 1 2 Rs ki policiyon se kuch nahi hoga moti aasamiyoun se paisa nikalo gareboun se nahi,negative
Good deed modi bhai ji......hme hmara desh fir se golden sparrow bnana h....wo spna sch hoga...jiske liye god n apko select kiya h...thnku god...4 modi ji,positive
modi ji. Assam and megalaya me ak khel hota he jiska nam he ter plz usha bond kijea.,neutral
May pm supar dupar nmo nmo,positive
modi ji jay ram ji ki,positive
Lega rhia purei takt k sath sbhi bharrt venseyo ki duaey ap k sath hai,positive
modi ji pakishtan ko muhtod jabab dena hoga,positive
Koi fayda hai inko ye sab dikhane se????,negative
Kya pm bihar me aana. chahte hai,neutral
Sir ji kamal kardi apne vides me bhi.,positive
Chankya ne kha hai .. Agar aapko ek kadam aage badhna hai to pahle 10 kadam piche rakho,neutral
PM ji ne toh poore vishwa mein ye saabit kar diya hai ki India sab ke sath badhega.,positive
Modi ji grat,positive
Modi sir yeh kaunsi jagah chale gaye ho mere se toh naam bhi sahi se nai liya ja raha...lol :-D,neutral
Modi sirf naam he kahi hei,positive
Itni energy vaala perhaps he koi p.m.raha ho india ka aapkey liyye bhagvaan se prey kertey hai sabka saath... Sabka vikas....jai ho,positive
Modi mission : 2 establish world brotherhood...grt man grt thinking @ Modi : a boon 2 earth,positive
Modi ji aap aage bado hum tumhare shath he..,positive
Modi g jaha bhi gaya apna jhanda gaar kar aya.,positive
Modi ji bharat ki badhti abaadi ki fikar kijiye Jo bharat ko patan ke maarg per lejaa rahi h,negative
Hamare desh ko aage badhane vale logo me utsah jagane narendra modi ji ko bhagvan hamesha khush rakhe.,positive
Apka kya khna PM ji,neutral
I love u.modi sir jankibhi jarurat ho to mang lena haste haste.dedege aap ka subh sintak,positive
Yehi jadu hai modiji ka jaha jate log pyaar karte hai,positive
Modi ji desh ke kanun me kuch Sridhar karyein,positive
Lov u modi ji,positive
Yes yes yes,positive
Me bhe aap ka bahut bada dewana hu,positive
modi ji apko sahi dimag ko me salute karta hu,positive
Mr. Pm hme aap par graw hai. Manish kumar nasriganj,positive
Lambe samay ke baad desh ko ek samarth n samarthyavan neta mila hai jo videsho me bhi lokpriya hai.,positive
india ka log ka vote ka valu delhi me samach ayyena.india me avo modiji idhar bhahuth problams he solve karne ka,negative
akele modi kya ker sakte hai.........akela aadmi pahad nhi khod sakta,neutral
Joy hind Varot mata ki joy,positive
modiji aap great ho but dekhna kahin bahr rishte ache karte karte aapke 5 saal na nikal jayen ..:P,positive
Aap great ho modi ji aapki wajah se hamara sir fakar se ucha ho gaya dunia me jay ho,positive
sicha vibhag ki tarah koi dhyan q n deta jo most important hai log apne baccho ko sarkari college ki jagah private collego me q pdhate hai,negative
agr is desh me badlaw lane hai to sampark kre 9451551081 pe mere pass sujhaw aur tarika dono hai teachero ka vetan bhar bdhate jao jo sote hai collego me soche fir comment kre,neutral
ghumna band karo modiji ab thoda sarkar ko bhi dekhlo ..............................,negative
Great prime minister modi ji jai hind,positive
PM MODI JI BAHUT UDARWADI VIKAS PURUS HAIN,positive
Modi ji aapnea teo kamaal kar diya ji aap ka kaam deakhatea hi muchha majaa aa jata hai  tv. Per dekhea nhi ki mud fresh  congratulations ji,positive
Mananiy & sammananiy narendra modi ji is yug k Aap Lauh Purush hai mujhe aap par garv hai Aapko koti-koti Naman,positive
modi ji hame app per garv h lakin desh ka vikas tab hoga jab sabi bhartiyo ki soch Appke jaisi hogi,positive
AAJ mere desh ko anteraatma SE jaga hua honable PM mila,positive
Modi ji aap jesa koi nhi dhanywad aap desh ki kitni sewa karte hai jese ak beta apni ma ko poojta hai,positive
Narendra damodar modi g acche din kab ayenge babu. Hai koi upaye.,negative
ppp model chirman in rajesthan is lalit modi,neutral
Tajikistan ne Gurudev Tagore Mahatma Gandhi ki peetho ki sthapanaa karake Bharat k bhaavaatmak ekataa ko sudridh kiya h,positive
Hamre vote nahi milenge aapko agar us din muslim ki cap pehni to,negative
mahan bibhutiyo ko naman karna sacchi dhridhata ka sabse anmol marg hai .aapko sadar naman,positive
Namaskar app ki vikash bahut achhi gurdev sab se achhi,positive
Aap Hindutva kabhi na bhuliyega,positive
hindustan ka raja he bhai,positive
good soch pm narendra modi,positive
Plz sir aap se baat kar ne hai,neutral
Abki baar phir modi sarkar,positive
oh great  ..har din apko dekh ke nai urja milta hai.ap jio hajoro sal sir ji or india ko biswa bijai banao..,positive
Tusi bast pm ho modi ji Sade I'm panjabi,positive
sir apne rastriya rojgar youjana me sms job ke liye news paper me add dya he kya???,neutral
mene ap ke paas mail kiya hai mughhhhhe aap se answer chahiye,neutral
modi ke maki chooooooooth me mera booooooooooolaaaaaaaaaaaaaaa,negative
Bharat mata ke ji,neutral
Ise share karo plz,neutral
BJP VIJAY hooooooooooooo,positive
Tu bhi jhootha nikla  Vaada tera vaada hi nikla...,negative
apna pm modi g ka jalwa...,positive
PM Saab aapkey swatch BHARAT mission ke Himachal Ki Raajdhaani sey ek tasweer bhejee hai mainey kal. Usey jarur dekh Lena,neutral
priya narandra modi pm ji apkaisa ho good night,neutral
pm uncle abki bar naya bihar bihar ki janta banayegi bjp sarkaar,positive
Devlope sirf sahro me hota hai gawo me nahi.,negative
Mee atalji ko bahat pasand kiya tha. Unka adarsh great tha. Uske bad app ayee sir i salute you,positive
Kabhi ghar me bhi raha karo modi ji?,negative
PM MODI JI KI JAI HO,positive
kyonki aapke baare main jaanta hu to aap bhi mere baare me saari jaankari jaane,neutral
Bahut sundar. Hardik subhkamnaye,positive
modiji....humane apko wot diya lekin muze ab lag raha he ki me rong tha,negative
PRANAM JAI HO,neutral
GOOD MORNING TO ALL OF UP M SHRI NARENDRA BHAI MODI JI JAY SHRI KRISHNATHANKS TO BOTH OF USANGITA PATIL MLAVIJAY KUMAR Vicky Mavan SoniJAY SHRI KRISHNA,neutral
Modi ji ek aise shashank hai jo wacky ki hindustan ko hindustan he bana rahi hai ab jaake hindustan taraqqi kar raha hai I love modi sarkar,positive
modi sir ko namo namo.humko garb hotahe kiuki humare matrubhumi ne yesa birpurus ko janam diyahe.,positive
apka koi v yojna-Plan sahi Trah se upyog nahi ho paya h.....,negative
mai aap se milta chahta hu lekin mai mil nahi pawga,neutral
modi ji kese ho ap.. videsh me apka dheyan rakha ja raha hai na sir.. sir ap please jaldi se ajao fir maan ki baat karna I'm waiting for it sir.. take care sir,neutral
Narendra modi ji plz court me jo cases pending hai use jldi nyai mile aisi koi upai yojna kre,negative
Election jantak chunne k hota h ya neta juth bolte h bade2 wade karte h lakin wahi'ENGRAGI SASAN'Ise badlega kon jise humne chunna h lakin wo badlega to wo satta sukh bade2 ghotale janta ka pesa janta k leya kyo pryoge nahi ja raha ,negative
Bhai ghumta rahio kaaam koi na kario,negative
Or kuch ho ja na ho par j bnda sarkari paise par duniya jarur ghum lega.,negative
Jb chunane ka aadhikr janta ko h to jb unhe lage ke galat aadmi chuna gaya h to 5yr kyo sahe uske tanasahi reject kre usa isse neta janta k pirti jyda jimmadare honge.,neutral
Sunil ji Brahmand ke Sher hain hamarein Modi Ji,positive
India ka hal aisa hote jaiega to india may koi educated person nehi nicklegi,negative
plz modi ji aapke desh basioko samjhaiya ki buddha ka janam nepalmain huwa hain na ki india me.,neutral
modi sir....you come bihar.because neccessary to bjp government in bihar.......har har modi ghar ghar modi.....,neutral
Kewal ghumte raho aur india ka ko narak me badal do tumhara modi yahi kahani,negative
Modi ne kuch kiya ki nahi... wo pata nhi.. pr wo 5 sal me pura world jrur ghum kr aayega,negative
background music plz..Phul mangu na bahar mangu Mai to sanam tera pyar mangu ?,neutral
Modi ji aap dash kahenhe sbheka diloke P.M.ho,positive
Jabtak surj chand rhega tabtak modi ji sarkar rhega ....jay hind,positive
Har har modi ghar ghar modi all world modi ji gud work sir ji,positive
kitni khoobsurat ye tasveer h,positive
modi ji roj hajaro gaaye kat rhi he uanka kuc kro jo bi suvar gaayo ko katata he un ko fasi do ya haat per kat kr corahe pr fek do salo ko,negative
Bade dhayan se dekh rahe ho,neutral
Jitni daulat ye neta log vides ghumne me kharch kar dete agar wo garibo me bat de to kitno ka pet bhar jayega,neutral
sir gay mat aki hatyaye roko,positive
waqt sahi nirnay sahi sachi mein sahi waqt par sahi nirnay lenevala hamare saath hai tho hamare bharath ko our bharat vaasiyon ko our kya chahiye sir ji. hum sab aapke saath hai sir ji.,positive
Kyo pade ho chakar me koi nahi hai takar me. Modi is best pm .,positive
Bapu g nirdhos h auko jaldi bahar lao,positive
abhi dobara vote ho jaay bjp 7 seat bhi nahi mlaygi jai rajesthan,negative
Pm ky sath videsh mantri bhi h modi,neutral
SRIJI Jantar mantra padhare !aapko nyota hai !,neutral
ati uttam modi ji,positive
Modi ji apne kaha tha ki assam se sab bangladesi jald hi jayenge. Par apne to unko dawat pe bulawa diya . Jo naukile kata tar se assam ata he uske liye to apne volvo bus bhej diye. Apse hamko ye ummid nehi thi.,negative
Apke niti se ane wale salo me bharat sabse age hoga... Or apki widesh niti bahot hi badhiya h...,positive
Enjoy krlo humare paise se ...world tour waw. .....,negative
modiji yehi voh desh hai jo hume aur mazbut banayenge,positive
Nari samman Desh ka samman Nariki unnati Desh ki unnat,positive
"Pehli bar desh ki ""AAN BAN SHAN""dikhth he  jispe hame ""NAZ"" he.salam to p.m.",positive
Welcome modi jee,neutral
Dhyaan se sir bike se mt gir jaana hahaha,negative
great modi ji,positive
please sir apke rhte vito power dila dena ......................,positive
kise kaam.ki.nh hai jo ..,negative
Sir aap aage chalo hum aapke saat he,positive
Sir kuch apne desh me bhi ghoom liya jaye kahin bijli to kahin pani aur kahin road hi nahi haiAchhe din jab aayenge aate rahenge aap to aao,negative
Bharat desh ke liye avatar hai pm modi ji,positive
Mullo ko bhagao...TP mat karo,negative
Jo aap ke sat rat din lga rha,neutral
Sir reconnection ke liye fir se jaana pad sakta hai kya ?,neutral
Kailash vijaywargiya ko nikaal bahar karenge aap ya apni saari mehnat or haamare bharoshe pe paani phirwaiyega,negative
india ka mal jitna paroge ghum lo 5 sal ke bad aap nehin aaoge,negative
modiG u r great pm.lakin un sainiko ka bhi koi solutation h jo jantr mantr pat 29 din se bhukh hardtal oar baitha h.aur hamara media is news ko dikha bhi nhi raha h.WaH india ka media wah,positive
Saare jahan se achha hindustaa hamara,positive
Jo gau hatya band ni kar sakta woh hamare kam ka nehi,negative
Thank you sir apka yatra se desh ko jarur fayada hoga hame garv hai app par aur apaki nitiyo par,positive
Great sir'' jabtak suraz chand rahega modiji ka naam rahega....,positive
Modi ji zindabaad hamare desh ka strong hain joh India ki image badlega,positive
Tan aur Mann desh Kay liye pranam modi ji .,positive
Great modi ji welcomes,positive
Aaj har nagarik ke man main ek hi chahat hai ki narendra modi kuch karenge.aaj haar yuba,positive
Sat sat naman,neutral
Welcome back Mr pm.ab kitne din rahenge India me???ye paisa kisika baap ka nehi hai.hamara hai.hamare paison Se bidesh ja kar ghumte ho saram nehi aati???,negative
Swagatam Maa bharti apne pass bula rahi h,neutral
sar in pakistanio ka kuch kijiye...... kuch pakistani log daily aapka naam lekar india walo ko gaaliya dete h,neutral
P m ji roj yhi khre milte ho,negative
Sehar aa gaya,neutral
sar aap se jaruri baat kar na he sar mera no 9747375375,neutral
Punjab me disst... ferozpur,neutral
One rank one pension ke liye Pease nahi hai sharm karo bhul gaye Rewadi ki pehli relli ko PM SAAB,negative
Sir aap jo kam country ke lea kar rahe hai uske lie aapko badhi,positive
P.m modi jee.aj mgnrega sab se top par hai.garamin chhetro mai esse playan ruka hai.lekin esme gram rojgar sewk j.e. in sabka vawisy aap ke hath mai hai. Hum apne priwar ka laln paln dhang se nhi kr skte.bacho ko achhi shiksha bhi nhi de skte.,negative
Jai hind shar,positive
Sir Abhi desh ke sabhi state ka tour laga ne to nikle. Jaise 2014 ke election me aap nikle the. Aab dekhye kitna parivartan/ change hua hai ke nahi.,negative
modi g ke jajbe ko koti koti naman,positive
aabay india k sowar. cow ka peshab penay walay . pakistan aja. tujhe karachi ka peshab khane ly jaounga. roz 3 liter pelaounga. or khane hai tujhe cow ka gobar bhe khelaounga. maa ke choot tere or teray bhen l loray BAGWAN ki,negative
Sir g hum pad likh kar be barujgar ghum rhaye hain .....hun etni mahnat kar kye pade or etna padne k babjud be koi kaam nhi mil rha sab paise kye piche hain sir g ....plz hlp me sir g,negative
Future ki baat mat karo .Hamara aaj bigad raha hai.,negative
I trust you so very nice improvement kabhi humne apne pm se nahi bola tha pehli baar hamari baat jaan pa rahi hai mujhe asahi pm hindustan ki zameen pe chahiye tha,positive
sir desh wasiyo ke liye kuch karne ka irada h ya phir is air india me hi gumte rahoge,negative
Safal videsh yatra ke liye badhai ho sir,positive
Sir kya berojgaari ka koi illaj hai aapke paas,negative
JAI HO MODI JI,positive
Ye photographer thak gya h kya .. blurred photo aayi h ...,neutral
ghar me padhare gajanand ji ab Ghar me padhare..........,neutral
Log apna sapna Pura karne ke liye puri duniya ko bhi dokha de sakta h,neutral
garib ro rahe h or tum jalse kr rhe ho,negative
mananiy pradhan mantriji apko salam our ramajan eid mubarak,positive
bharatakke bapa randi magana illi raitaru sayakattaru,negative
ohhhh bsss krrrr Modi tenu ghuman toh sivva horr koi kmmm h k,negative
Iske pas or to kam hai nhi chla hai for en country's,negative
desh ki badkismati .. chai wala p.m...or padha likha p.m maun,negative
congratulation sir ji,positive
Ghen ke Lund apni bhen Chuda rha h randi ke,negative
Extremist prick with hateful ideologies and hostile intentions towards neighbors. Ultimate dueschbag.,negative
Hiii kam chhe,neutral
I heartly salute you Mr. Prime minister aapka karyakal Bharat varsh ke itihas me savarnim yug sabit Hoga Jai hind,positive
Modi ji aap ko sabhi ne vishvas kiya hai but us par pani phirte dekh rahe hai mp balaghat mai pani ki tenk kitne dino se saf nahi hui hai bahot log bimariyo ke ghere mai sab aap hi thik kar sakte ho,negative
Chaye bechate bechate desh mat bej Dena,negative
Mera bharat mahan  Modi ji saccha insan Des ki Dilayange sahi pehchan.jai hind jai Bharat,positive
